epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1226.73,0.79802,0.4674,1.25103,0.94334,0.92147,0.9539,0.67703,0.76471,0.35748,1.25544,0.005875,0.005875,0.005875
45,1254.71,0.78881,0.45662,1.24074,0.93914,0.92738,0.95567,0.67821,0.76495,0.35345,1.25581,0.005776,0.005776,0.005776
46,1282.62,0.79686,0.45274,1.25554,0.93907,0.93047,0.95829,0.68104,0.76337,0.35202,1.27142,0.005578,0.005578,0.005578
47,1310.38,0.7925,0.45785,1.25047,0.93555,0.93194,0.95493,0.67778,0.75659,0.34983,1.25092,0.005479,0.005479,0.005479
48,1338.14,0.78358,0.44867,1.24217,0.93748,0.9335,0.95972,0.68548,0.75846,0.35169,1.25641,0.00538,0.00538,0.00538
49,1366.08,0.78494,0.4559,1.24139,0.93791,0.93565,0.95953,0.68452,0.75697,0.34304,1.25391,0.005281,0.005281,0.005281
50,1393.94,0.77976,0.44749,1.24699,0.93613,0.93978,0.95929,0.68242,0.75736,0.34578,1.25314,0.005182,0.005182,0.005182
51,1422.03,0.77635,0.44066,1.23014,0.93374,0.94447,0.96248,0.68404,0.75523,0.34639,1.25258,0.005083,0.005083,0.005083
52,1450.05,0.7768,0.44305,1.23426,0.94468,0.93655,0.96207,0.68846,0.75224,0.33888,1.24606,0.004885,0.004885,0.004885
53,1478.03,0.77412,0.44284,1.23057,0.94047,0.93351,0.96223,0.68741,0.75472,0.34375,1.24905,0.004786,0.004786,0.004786
54,1505.88,0.77508,0.44092,1.23154,0.94273,0.93405,0.96184,0.68718,0.75177,0.34521,1.2398,0.004687,0.004687,0.004687
55,1533.87,0.77125,0.43985,1.23288,0.94189,0.9392,0.96143,0.68732,0.75125,0.34386,1.23799,0.004588,0.004588,0.004588
56,1562.04,0.7711,0.43674,1.2293,0.94008,0.93856,0.96255,0.68859,0.74902,0.34181,1.23763,0.004489,0.004489,0.004489
57,1590.14,0.77088,0.43573,1.23179,0.94192,0.93823,0.96335,0.69116,0.74836,0.34276,1.23741,0.004291,0.004291,0.004291
58,1617.94,0.76979,0.43161,1.22826,0.94716,0.93436,0.96248,0.69186,0.74744,0.3397,1.2382,0.004192,0.004192,0.004192
59,1645.59,0.76991,0.43537,1.22085,0.94371,0.93563,0.96397,0.69097,0.74809,0.33678,1.23893,0.004093,0.004093,0.004093
60,1673.47,0.76468,0.43442,1.22287,0.94611,0.93852,0.96418,0.69338,0.74896,0.34176,1.23566,0.003994,0.003994,0.003994
61,1701.43,0.7663,0.42974,1.2238,0.94399,0.93753,0.9639,0.69438,0.74618,0.34164,1.23473,0.003895,0.003895,0.003895
62,1729.54,0.76573,0.43186,1.22285,0.94719,0.93695,0.9652,0.69564,0.74756,0.33879,1.23548,0.003697,0.003697,0.003697
63,1757.52,0.75841,0.42361,1.21904,0.94631,0.93863,0.96482,0.69485,0.74649,0.3347,1.23535,0.003598,0.003598,0.003598
64,1785.53,0.75286,0.42361,1.21438,0.94708,0.9365,0.96483,0.69465,0.74517,0.33303,1.23534,0.003499,0.003499,0.003499
65,1813.41,0.75925,0.42834,1.21864,0.94758,0.93922,0.96445,0.6956,0.7444,0.33164,1.23476,0.0034,0.0034,0.0034
66,1841.53,0.7542,0.41991,1.21269,0.94887,0.94104,0.96418,0.69582,0.74342,0.33284,1.23314,0.003301,0.003301,0.003301
67,1869.39,0.75198,0.42173,1.20801,0.95013,0.94133,0.96588,0.69561,0.74373,0.33572,1.23285,0.003103,0.003103,0.003103
68,1897.32,0.75022,0.41697,1.21438,0.9483,0.9429,0.96609,0.6966,0.74302,0.33095,1.23284,0.003004,0.003004,0.003004
69,1925.33,0.75109,0.41366,1.21063,0.95108,0.94259,0.9665,0.69687,0.74223,0.33142,1.23146,0.002905,0.002905,0.002905
70,1953.16,0.74919,0.41642,1.20711,0.95651,0.9384,0.96655,0.69668,0.74133,0.33374,1.23061,0.002806,0.002806,0.002806
71,1981.2,0.74389,0.40992,1.20618,0.95569,0.93971,0.96649,0.69731,0.74118,0.33491,1.22925,0.002707,0.002707,0.002707
72,2009.28,0.73719,0.40646,1.20073,0.95484,0.94077,0.96703,0.69716,0.74233,0.33669,1.22889,0.002608,0.002608,0.002608
73,2037.16,0.74771,0.41569,1.20777,0.95729,0.93834,0.96738,0.698,0.74127,0.33748,1.22639,0.00241,0.00241,0.00241
74,2065.24,0.74947,0.41203,1.20926,0.95613,0.93881,0.96775,0.69827,0.73985,0.33474,1.22533,0.002311,0.002311,0.002311
75,2093.42,0.73902,0.4092,1.19605,0.95563,0.93908,0.96802,0.69955,0.7388,0.33325,1.22495,0.002212,0.002212,0.002212
76,2121.25,0.74096,0.40863,1.20234,0.95705,0.93936,0.96763,0.69943,0.73777,0.33199,1.22454,0.002113,0.002113,0.002113
77,2149.13,0.73697,0.40806,1.20215,0.95782,0.94026,0.96772,0.69963,0.73761,0.33217,1.2242,0.002014,0.002014,0.002014
78,2177.01,0.72823,0.40269,1.19034,0.95797,0.94027,0.96786,0.69951,0.73702,0.33163,1.22373,0.001915,0.001915,0.001915
79,2204.99,0.7376,0.40832,1.19149,0.95566,0.94119,0.9683,0.70011,0.73673,0.33088,1.22366,0.001816,0.001816,0.001816
80,2232.91,0.73603,0.40015,1.19479,0.95513,0.94119,0.96875,0.7004,0.7365,0.32971,1.2241,0.001717,0.001717,0.001717
81,2260.79,0.72865,0.40186,1.18848,0.9525,0.94077,0.96849,0.70079,0.73639,0.32925,1.22452,0.001618,0.001618,0.001618
82,2288.73,0.73098,0.39504,1.18929,0.95289,0.94077,0.96851,0.70102,0.73644,0.32884,1.22473,0.001519,0.001519,0.001519
83,2316.49,0.73353,0.39941,1.19232,0.95222,0.94195,0.96855,0.7006,0.73611,0.32863,1.22427,0.00142,0.00142,0.00142
84,2344.59,0.73024,0.39858,1.19031,0.95196,0.94241,0.96843,0.70136,0.73595,0.32853,1.22408,0.001321,0.001321,0.001321
85,2372.55,0.72241,0.3887,1.18063,0.95224,0.94396,0.96846,0.7012,0.73587,0.32865,1.22397,0.001222,0.001222,0.001222
86,2400.27,0.7259,0.38692,1.18997,0.95212,0.94314,0.96853,0.70116,0.73598,0.32876,1.22409,0.001123,0.001123,0.001123
87,2428.07,0.72188,0.39215,1.18604,0.95243,0.94074,0.96868,0.70122,0.73597,0.32863,1.22398,0.001024,0.001024,0.001024
88,2456.04,0.7266,0.39456,1.18916,0.95207,0.9413,0.96878,0.70171,0.7359,0.32847,1.22371,0.000925,0.000925,0.000925
89,2484.02,0.71905,0.38032,1.18005,0.95264,0.94153,0.96885,0.70175,0.73579,0.32845,1.22359,0.000826,0.000826,0.000826
90,2511.75,0.71389,0.38451,1.18257,0.95239,0.94195,0.96886,0.70187,0.73575,0.3284,1.22361,0.000793,0.000793,0.000793
91,2569.18,0.71457,0.38317,1.1813,0.95281,0.94262,0.9689,0.70194,0.73582,0.32834,1.22356,0.00076,0.00076,0.00076
92,2596.96,0.72488,0.39181,1.18435,0.95255,0.94211,0.9689,0.70205,0.73583,0.32835,1.22356,0.000727,0.000727,0.000727
93,2624.8,0.7213,0.38753,1.18793,0.9522,0.94225,0.96897,0.70216,0.73592,0.32827,1.22364,0.000694,0.000694,0.000694
94,2652.62,0.72126,0.38888,1.18268,0.95395,0.94249,0.96911,0.70185,0.7358,0.32818,1.22327,0.000595,0.000595,0.000595
95,2680.33,0.71406,0.38015,1.18419,0.95524,0.94154,0.96918,0.70237,0.73572,0.32819,1.22313,0.000496,0.000496,0.000496
96,2708.22,0.71341,0.38449,1.17472,0.95553,0.94158,0.96922,0.70248,0.7357,0.32821,1.22304,0.000463,0.000463,0.000463
97,2736.2,0.7383,0.36205,1.21256,0.95527,0.94161,0.96922,0.70243,0.73574,0.32827,1.22304,0.00043,0.00043,0.00043
98,2764.15,0.72659,0.34578,1.20603,0.9548,0.94133,0.96927,0.70225,0.7357,0.32828,1.22288,0.000331,0.000331,0.000331
99,2791.88,0.71811,0.34473,1.20405,0.95587,0.9414,0.96931,0.7019,0.73557,0.32846,1.22257,0.000232,0.000232,0.000232
100,2819.84,0.7183,0.34443,1.19796,0.95346,0.94329,0.96924,0.70248,0.7355,0.32852,1.22248,0.000133,0.000133,0.000133
